x,y,heading,curvature,speed
36.6246,30.254,1.0025,0.004502,7.0
36.8402,30.591,1.0009,0.003513,7.0
37.0563,30.9277,0.9997,0.002513,7.0
37.2727,31.2642,0.9989,0.001511,7.0
37.4894,31.6007,0.9985,0.000507,7.0
37.7063,31.9373,0.9985,0.000503,7.0
37.9233,32.2743,0.9989,0.001528,7.0
38.1404,32.6117,0.9998,0.002581,7.0
38.3574,32.9499,1.001,0.003679,7.0
38.5742,33.2889,1.0027,0.004835,7.0
38.7908,33.6289,1.0049,0.006063,7.0
39.007,33.9703,1.0076,0.007372,7.0
39.2227,34.3131,1.0109,0.008758,7.0
39.4378,34.6575,1.0148,0.010211,7.0
39.652,35.0039,1.0192,0.011702,7.0
39.8653,35.3525,1.0243,0.013186,7.0
40.0775,35.7033,1.03,0.014599,7.0
40.2883,36.0568,1.0363,0.015856,7.0
40.4976,36.4131,1.043,0.016852,7.0
40.7054,36.7723,1.0502,0.017464,7.0
40.9114,37.1347,1.0575,0.017555,7.0
41.1158,37.5003,1.0647,0.016992,7.0
41.3185,37.8692,1.0716,0.01564,7.0
41.5199,38.2414,1.0777,0.013299,7.0
41.7203,38.6168,1.0826,0.009855,7.0
41.9202,38.9952,1.0858,0.00524,7.0
42.1205,39.3764,1.0868,0.00055,7.0
42.3222,39.76,1.0851,0.007404,7.0
42.5262,40.1449,1.0801,0.015348,7.0
42.7331,40.529,1.0715,0.024487,7.0
42.9434,40.9098,1.0586,0.034921,7.0
43.1579,41.2846,1.041,0.046742,7.0
43.3773,41.6507,1.0183,0.060037,7.0
43.6022,42.0053,0.9901,0.074896,7.0
43.8334,42.3458,0.956,0.091428,7.0
44.071,42.6692,0.9158,0.109794,7.0
44.3151,42.973,0.8692,0.130217,6.735
44.5656,43.2547,0.816,0.153346,6.346
44.8222,43.5121,0.7555,0.180596,5.948
45.0845,43.7434,0.687,0.211932,5.538
45.3523,43.947,0.6101,0.245485,5.146
45.6262,44.122,0.525,0.276555,4.848
45.9069,44.2682,0.4338,0.294795,4.696
46.1968,44.3864,0.3423,0.281958,4.801
46.5007,44.4798,0.2595,0.235267,5.122
46.8216,44.5523,0.1924,0.173609,5.433
47.1588,44.608,0.1437,0.113863,5.739
47.5099,44.6518,0.1131,0.061406,6.04
47.8718,44.689,0.0991,0.016737,6.334
48.2411,44.7245,0.1003,0.022372,6.62
48.6143,44.7636,0.1155,0.058892,6.898
48.988,44.8112,0.1444,0.094964,7.0
49.3592,44.872,0.1869,0.131225,6.633
49.7257,44.9507,0.2427,0.166143,6.226
50.0862,45.052,0.3105,0.194218,5.785
50.4415,45.1804,0.3871,0.207713,5.594
50.7939,45.3405,0.4678,0.208426,5.584
51.1416,45.5341,0.5498,0.204213,5.642
51.48,45.761,0.6318,0.199635,5.706
51.8042,46.0191,0.7136,0.196439,5.752
52.1091,46.3057,0.7954,0.195785,5.762
52.3901,46.6169,0.8777,0.198134,5.728
52.643,46.9484,0.9612,0.203846,5.647
52.8641,47.2956,1.0467,0.213247,5.521
53.0504,47.6533,1.135,0.22528,5.371
53.2001,48.0172,1.2255,0.234207,5.268
53.3137,48.3854,1.3159,0.232602,5.286
53.3931,48.7577,1.4021,0.218872,5.45
53.4409,49.1327,1.4806,0.195324,5.769
53.461,49.5088,1.5481,0.162786,6.086
53.458,49.8843,1.6013,0.120672,6.387
53.4381,50.2578,1.6372,0.070913,6.674
53.4085,50.6284,1.6535,0.016394,6.432
53.377,50.9956,1.6495,0.038268,6.023
53.3509,51.3589,1.6267,0.087887,5.59
53.3366,51.7175,1.5869,0.135906,5.133
53.3395,52.0675,1.5284,0.204298,4.656
53.3655,52.4003,1.4421,0.327122,4.166
53.4218,52.704,1.3562,0.230036,3.68
53.4893,52.9679,1.2658,0.465253,3.2
53.5742,53.1878,1.1082,0.891885,2.7
